"Notes"	"Year"	"YearCode"	"State"	"StateCode"	"Births"	"TotalPopulation"	"BirthRate"
	"2006"	"2006"	"North Carolina"	"37"	127859	8917270	14.34
	"2006"	"2006"	"North Dakota"	"38"	8621	649422	13.27
	"2006"	"2006"	"Ohio"	"39"	150593	11481213	13.12
	"2006"	"2006"	"Oklahoma"	"40"	54016	3594090	15.03
	"2006"	"2006"	"Oregon"	"41"	48689	3670883	13.26
	"2006"	"2006"	"Pennsylvania"	"42"	149090	12510809	11.92
	"2006"	"2006"	"Rhode Island"	"44"	12372	1063096	11.64
	"2006"	"2006"	"South Carolina"	"45"	62171	4357847	14.27
	"2006"	"2006"	"South Dakota"	"46"	11919	783033	15.22
	"2006"	"2006"	"Tennessee"	"47"	84355	6088766	13.85
	"2006"	"2006"	"Texas"	"48"	399603	23359580	17.11
	"2006"	"2006"	"Utah"	"49"	53504	2525507	21.19
	"2006"	"2006"	"Vermont"	"50"	6511	622892	10.45
	"2006"	"2006"	"Virginia"	"51"	107817	7673725	14.05
	"2006"	"2006"	"Washington"	"53"	86876	6370753	13.64
	"2006"	"2006"	"West Virginia"	"54"	20931	1827912	11.45
	"2006"	"2006"	"Wisconsin"	"55"	72340	5577655	12.97
	"2006"	"2006"	"Wyoming"	"56"	7672	522667	14.68
"---"
"Dataset: Natality, 2003-2006"
"Query Parameters:"
"Title: 2003-2006 Births and Rate"
"Age of Mother 9: All"
"Anemia: All"
"Birthplace: All"
"Birth Weight 12: All"
"Cardiac Disease: All"
"Chronic Hypertension: All"
"Delivery Method: All"
"Diabetes: All"
"Eclampsia: All"
"Education: All"
"Gender: All"
"Hispanic Origin: All"
"Hydramnios / Oligohydramnios: All"
"Incompetent Cervix: All"
"Live Birth Order: All"
"LMP Gestational Age 11: All"
"Lung Disease: All"
"Marital Status: All"
"Medical Attendant: All"
"Month: All"
"Month Prenatal Care Began: All"
"Plurality or Multiple Birth: All"
"Pregnancy-associated Hypertension: All"
"Race: All"
"States: All"
"Tobacco Use: All"
"Weekday: All"
"Year: All, 2003 to 2006"
"Group By: Year, State"
"Show Totals: False"
"Show Zero Values: False"
"Show Suppressed: False"
"Calculate Rates Per: 1,000"
"Population Option: Default intercensal populations for years 2003-2006"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/Natality.html for more information."
"---"
"Query Date: Apr 24, 2017 10:00:13 AM"
"---"
"Suggested Citation: United States Department of Health and Human Services (US DHHS), Centers for Disease Control and Prevention"
"(CDC), National Center for Health Statistics (NCHS), Division of Vital Statistics, Natality public-use data 2003-2006, on CDC"
"WONDER Online Database, March 2009. Accessed at http://wonder.cdc.gov/natality-v2006.html on Apr 24, 2017 10:00:13 AM"
"---"
Caveats:
"1. Each birth record represents one living baby."
"2. Birth rates are calculated as the number of births divided by total population in the given year(s). When the numerator is"
"sub-set by mother's race, location, or year of birth, then the same sub-set for age, race, location and year applies to the"
"denominator population."
"3. Birth rates and fertility rates for years 2003-2006 are calculated using the revised intercensal bridged-race series of July"
"1st estimates of the resident population, released by NCHS on October 26, 2012. More information:"
"http://wonder.cdc.gov/wonder/help/Natality.html#Denominator-Population-Sources."
