Country Name,Country Code,Series Name,Series Code,1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Greece,GRC,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,13810,13380,13330,13070,13150,15700,19580,22760,24550,26350,28660,29330,27660,24930,23500,22540,22000,20270
Greenland,GRL,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,20440,19740,20290,19390,18760,21310,25830,29970,29540,35110,25000,19290,..,..,..,..,..,..
Grenada,GRD,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,2990,3340,3860,4140,4720,5370,5440,6760,6530,6940,7370,6810,7050,7180,7160,7550,8160,8650
Guam,GUM,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Guatemala,GTM,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,1600,1640,1660,1600,1610,1680,1850,1990,2140,2350,2560,2590,2680,2830,3070,3290,3440,3590
Guinea,GIN,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,430,420,380,340,330,320,350,340,300,310,340,380,390,400,430,450,470,470
Guinea-Bissau,GNB,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,150,150,190,230,280,300,350,390,410,430,480,520,540,600,590,600,590,590
Guyana,GUY,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,880,890,880,870,890,920,940,1060,1340,1790,2410,2650,2900,3190,3600,3940,4030,4090
Haiti,HTI,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,400,450,470,440,410,370,370,400,470,550,610,680,650,700,750,800,820,810
Honduras,HND,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,750,790,920,1030,1130,1200,1290,1390,1470,1620,1780,1840,1910,2070,2180,2240,2260,2280
"Hong Kong SAR, China",HKG,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,24800,25800,26930,26350,25270,26340,28120,28890,30290,32070,33950,32350,33620,35690,36320,38520,40190,41000
Hungary,HUN,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,4470,4540,4660,4820,5310,6680,8700,10450,11300,11820,13220,13290,13100,13090,12910,13430,13460,12970
Iceland,ISL,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,29020,30180,31460,30430,30320,33110,41400,51090,53820,62320,49820,41660,36490,37630,40520,46330,48520,50110
India,IND,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,420,450,450,460,470,530,620,730,810,930,1000,1110,1220,1370,1480,1520,1560,1590
Indonesia,IDN,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,660,570,580,720,790,900,1080,1220,1380,1600,1940,2150,2530,3010,3590,3740,3630,3440
"Iran, Islamic Rep.",IRN,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,1810,1730,1760,1800,1880,2190,2480,2910,3390,4160,4820,5370,6020,6730,7010,7120,6550,..
Iraq,IRQ,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,..,..,..,..,..,..,..,..,2020,2510,3530,4020,4410,4790,6100,6840,6560,5820
Ireland,IRL,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,21360,22650,24170,24160,24840,30040,37790,44600,48360,50360,50930,47130,45220,42830,41330,44060,46880,52550
Isle of Man,IMN,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,18820,21350,21920,22330,23340,27070,33330,38690,43240,61240,69560,74380,72040,72670,78840,83960,85290,..
Israel,ISR,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,17720,17410,18800,19040,18340,18400,19940,21220,22060,23710,25920,27180,29610,31560,32230,34430,35670,35770
Italy,ITA,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,22130,21900,21820,21080,20640,23270,28220,32390,34210,35820,37760,37690,37690,37680,36000,35370,34740,32830
Jamaica,JAM,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,2690,3030,3280,3270,3300,3500,3730,3870,4170,4410,4670,4420,4490,4720,5150,5200,5080,4930
Japan,JPN,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,34450,33780,36230,36770,34790,35070,38350,40560,39930,38740,38850,38790,43440,46880,49510,48320,43990,38840
